Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
81,18,7,108,7,Some Random Commen with Id 81
82,18,7,198,3,Some Random Commen with Id 82
83,18,7,17,4,Some Random Commen with Id 83
84,19,4,106,7,Some Random Commen with Id 84
85,19,4,103,4,Some Random Commen with Id 85
86,19,4,87,1,Some Random Commen with Id 86
87,19,4,116,7,Some Random Commen with Id 87
88,19,4,105,1,Some Random Commen with Id 88
89,19,4,96,8,Some Random Commen with Id 89
90,20,1,31,6,Some Random Commen with Id 90
91,21,1,64,3,Some Random Commen with Id 91
92,21,1,195,0,Some Random Commen with Id 92
93,21,1,155,7,Some Random Commen with Id 93
94,21,1,28,8,Some Random Commen with Id 94
95,21,1,104,7,Some Random Commen with Id 95
96,21,1,158,4,Some Random Commen with Id 96
97,21,1,98,0,Some Random Commen with Id 97
98,22,7,3,7,Some Random Commen with Id 98
99,22,7,95,3,Some Random Commen with Id 99
100,23,7,97,2,Some Random Commen with Id 100
101,23,7,198,6,Some Random Commen with Id 101
102,24,0,29,4,Some Random Commen with Id 102
103,24,0,126,3,Some Random Commen with Id 103
104,24,0,8,6,Some Random Commen with Id 104
105,26,3,149,9,Some Random Commen with Id 105
106,26,3,195,9,Some Random Commen with Id 106
107,26,3,69,4,Some Random Commen with Id 107
108,29,2,82,4,Some Random Commen with Id 108
109,29,2,117,7,Some Random Commen with Id 109
110,29,2,157,9,Some Random Commen with Id 110
111,29,2,46,2,Some Random Commen with Id 111
112,29,2,194,1,Some Random Commen with Id 112
113,29,2,187,9,Some Random Commen with Id 113
114,29,2,28,9,Some Random Commen with Id 114
115,29,2,116,6,Some Random Commen with Id 115
116,30,2,123,9,Some Random Commen with Id 116
117,30,2,68,4,Some Random Commen with Id 117
118,30,2,50,6,Some Random Commen with Id 118
119,30,2,122,2,Some Random Commen with Id 119
120,30,2,183,5,Some Random Commen with Id 120
121,30,2,68,6,Some Random Commen with Id 121
122,30,2,124,6,Some Random Commen with Id 122
123,30,2,180,9,Some Random Commen with Id 123
124,31,8,128,6,Some Random Commen with Id 124
125,32,2,3,3,Some Random Commen with Id 125
126,32,2,188,9,Some Random Commen with Id 126
127,32,2,19,3,Some Random Commen with Id 127
128,32,2,96,8,Some Random Commen with Id 128
129,32,2,5,7,Some Random Commen with Id 129
130,32,2,67,7,Some Random Commen with Id 130
131,32,2,108,5,Some Random Commen with Id 131
132,33,0,17,6,Some Random Commen with Id 132
133,33,0,171,6,Some Random Commen with Id 133
134,33,0,85,0,Some Random Commen with Id 134
135,33,0,41,5,Some Random Commen with Id 135
136,34,5,23,0,Some Random Commen with Id 136
137,35,8,64,1,Some Random Commen with Id 137
138,36,3,124,1,Some Random Commen with Id 138
139,36,3,30,2,Some Random Commen with Id 139
140,36,3,135,8,Some Random Commen with Id 140
141,36,3,133,3,Some Random Commen with Id 141
142,36,3,36,2,Some Random Commen with Id 142
143,36,3,42,1,Some Random Commen with Id 143
144,36,3,39,1,Some Random Commen with Id 144
145,36,3,174,6,Some Random Commen with Id 145
146,37,4,59,3,Some Random Commen with Id 146
147,37,4,20,1,Some Random Commen with Id 147
148,37,4,93,4,Some Random Commen with Id 148
149,37,4,85,2,Some Random Commen with Id 149
150,37,4,68,8,Some Random Commen with Id 150
151,37,4,49,2,Some Random Commen with Id 151
152,38,4,40,7,Some Random Commen with Id 152
153,38,4,98,4,Some Random Commen with Id 153
154,38,4,71,8,Some Random Commen with Id 154
155,38,4,198,0,Some Random Commen with Id 155
156,38,4,185,9,Some Random Commen with Id 156
157,38,4,185,0,Some Random Commen with Id 157
158,38,4,37,6,Some Random Commen with Id 158
159,38,4,85,9,Some Random Commen with Id 159
160,39,9,109,5,Some Random Commen with Id 160
161,39,9,104,1,Some Random Commen with Id 161
162,39,9,157,8,Some Random Commen with Id 162
163,39,9,26,6,Some Random Commen with Id 163
